year.from,doy.from,year.to,doy.to,factor.from,factor.to
1997,0,1997.15,55,1.02744477285679,1.33160340216308
1997.15,55,1997.35073,128,0.945926571771092,0.980465031486323
1997.35073,128,1997.383,140,1.01710565303027,1.44329769947007
1997.383,140,1997.444,163,0.976537053019139,1.01296410129719
1997.444,163,1998.4395,161,0.783100044821987,0.782904914495506
1998.4395,161,1998.72723,266,0.833874903354921,0.806966121952078
1998.72723,266,1998.911,333,0.791005079445734,0.680169261108788
1998.911,333,1999.40109,147,0.73172344939247,0.851507522101255
1999.40109,147,2000.08874,32,0.887159531444802,0.647576992837184
2000.08874,32,2000.43021,157,0.768346443634447,0.762645434125201
2000.43021,157,2001.0026,1,0.891210307629219,0.732360097227719
2001.0026,1,2001.35747,131,0.687492242159128,0.666506548077262
2001.35747,131,2001.64553,236,0.841839167837665,0.802898336761225
2001.64553,236,2001.837,306,0.862761150775683,0.829207843023394
2001.837,306,2001.889,325,0.813776962800091,0.728774898689545
2001.889,325,2002.164,60,0.749731071277155,0.699770200977812
2002.164,60,2002.435,159,0.677614750464537,0.731960391319903
2002.435,159,2002.46427,170,0.720016223467191,0.772260866250877
2002.46427,170,2002.79273,290,1.03808949280808,1.00448594989318
2002.79273,290,2003.65575,240,0.885016724560627,0.814369175861552
2003.65575,240,2004.288,105,0.864983791597344,0.642491609243327
2004.288,105,2004.53972,198,1.00971815672456,0.839027292445136
2004.53972,198,2004.672,246,0.946527462729134,0.907777883552523
2004.672,246,2004.707,259,1.17336420618935,1.21662609232344
2004.707,259,2005.252,92,1.10576042521956,0.994717972225317
2005.252,92,2005.395,145,1.18868312569362,1.17646064846137
2005.395,145,2005.60548,222,0.903096411906595,0.846223493421463
2005.60548,222,2006,0,0.976769925801192,0.82120082308636
