"year.from" "doy.from" "year.to" "doy.to" "factor.from" "factor.to"
1997 0 1997.1494 55 1.19910655448348 1.66855877075159
1997.1494 55 1997.3 110 1.10369150154811 1.10054378723797
1997.3 110 1997.35 128 1.16362315794095 1.13833165316782
1997.35 128 1997.3848 141 1.05711568491097 1.72532377296011
1997.3848 141 1997.442 162 1.09759462264253 1.07998231032764
1997.442 162 1998.248 91 0.843893337954974 0.852159421688654
1998.248 91 1999 0 0.827605047604308 0.80547605047105
1999 0 1999.536 196 0.807393675781185 0.841983682854845
1999.536 196 2000.0861 32 0.80715146385866 0.772317670001712
2000.0861 32 2000.677 248 0.865987902229087 0.857514064941906
2000.677 248 2001.36 132 0.852181313739635 0.796783045632083
2001.36 132 2002.46301 169 0.891382827976571 0.827301536715652
2002.46301 169 2002.801 293 0.941885990094988 0.89437841870756
2002.801 293 2003.06 22 0.923343370710938 0.913675670840263
2003.06 22 2003.66 242 0.954760431034714 0.915382563280701
2003.66 242 2004.54 198 0.901288947065694 0.82360687433652
2004.54 198 2004.672 246 0.913788477698404 0.879581481928994
2004.672 246 2004.707 259 1.03856520214185 1.05220115373527
2004.707 259 2004.915 335 1.00306373132548 0.895398995554615
2004.915 335 2005.60548 222 0.947841434715883 0.886233731965831
2005.60548 222 2006 0 1.03078613897515 0.956880740837448
